ID,_QID,_Title,_Apply,_Question,_Answer_ID,_Answer,
,A&A-01.1,Audit and Assurance Policy and Procedures,,"Are audit and assurance policies, procedures, and standards established, documented, approved, communicated, applied, evaluated, and maintained?
",,,
,A&A-01.2,,,"Are audit and assurance policies, procedures, and standards reviewed and updated at least annually?
",,,
,A&A-02.1,Independent Assessments,,"Are independent audit and assurance assessments conducted according to relevant standards at least annually?
",,,
,A&A-03.1,Risk Based Planning Assessment,,"Are independent audit and assurance assessments performed according to risk-based plans and policies?
",,,
,A&A-04.1,Requirements Compliance,,"Is compliance verified regarding all relevant standards, regulations, legal/contractual, and statutory requirements applicable to the audit?
",,,
,A&A-05.1,Audit Management Process,,"Is an audit management process defined and implemented to support audit planning, risk analysis, security control assessments, conclusions, remediation schedules, report generation, and reviews of past reports and supporting evidence?
",,,
,A&A-06.1,Remediation,,"Is a risk-based corrective action plan to remediate audit findings established, documented, approved, communicated, applied, evaluated, and maintained?
",,,
,A&A-06.2,,,"Is the remediation status of audit findings reviewed and reported to relevant stakeholders?
",,,
,AIS-01.1,Application and Interface Security Policy and Procedures,,"Are application security policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained to guide appropriate planning, delivery, and support of the organization's application security capabilities?
",,,
,AIS-01.2,,,"Are application security policies and procedures reviewed and updated at least annually?
",,,
,AIS-02.1,Application Security Baseline Requirements,,"Are baseline requirements to secure different applications established, documented, and maintained?
",,,
,AIS-03.1,Application Security Metrics,,"Are technical and operational metrics defined and implemented according to business objectives, security requirements, and compliance obligations?
",,,
,AIS-04.1,Secure Application Design and Development,,"Is an SDLC process defined and implemented for application design, development, deployment, and operation per organizationally designed security requirements?
",,,
,AIS-05.1,Automated Application Security Testing,,"Does the testing strategy outline criteria to accept new information systems, upgrades, and new versions while ensuring application security, compliance adherence, and organizational speed of delivery goals?
",,,
,AIS-05.2,,,"Is testing automated when applicable and possible?
",,,
,AIS-06.1,Automated Secure Application Deployment,,"Are strategies and capabilities established and implemented to deploy application code in a secure, standardized, and compliant manner?
",,,
,AIS-06.2,,,"Is the deployment and integration of application code automated where possible?
",,,
,AIS-07.1,Application Vulnerability Remediation,,"Are application security vulnerabilities remediated following defined processes?
",,,
,AIS-07.2,,,"Is the remediation of application security vulnerabilities automated when possible?
",,,
,BCR-01.1,Business Continuity Management Policy and Procedures,,"Are business continuity management and operational resilience policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained?
",,,
,BCR-01.2,,,"Are the policies and procedures reviewed and updated at least annually?
",,,
,BCR-02.1,Risk Assessment and Impact Analysis,,"Are criteria for developing business continuity and operational resiliency strategies and capabilities established based on business disruption and risk impacts?
",,,
,BCR-03.1,Business Continuity Strategy,,"Are strategies developed to reduce the impact of, withstand, and recover from business disruptions in accordance with risk appetite?
",,,
,BCR-04.1,Business Continuity Planning,,"Are operational resilience strategies and capability results incorporated to establish, document, approve, communicate, apply, evaluate, and maintain a business continuity plan?
",,,
,BCR-05.1,Documentation,,"Is relevant documentation developed, identified, and acquired to support business continuity and operational resilience plans?
",,,
,BCR-05.2,,,"Is business continuity and operational resilience documentation available to authorized stakeholders?
",,,
,BCR-05.3,,,"Is business continuity and operational resilience documentation reviewed periodically?
",,,
,BCR-06.1,Business Continuity Exercises,,"Are the business continuity and operational resilience plans exercised and tested at least annually and when significant changes occur?
",,,
,BCR-07.1,Communication,,"Do business continuity and resilience procedures establish communication with stakeholders and participants?
",,,
,BCR-08.1,Backup,,"Is cloud data periodically backed up?
",,,
,BCR-08.2,,,"Is the confidentiality, integrity, and availability of backup data ensured?
",,,
,BCR-08.3,,,"Can backups be restored appropriately for resiliency?
",,,
,BCR-09.1,Disaster Response Plan,,"Is a disaster response plan established, documented, approved, applied, evaluated, and maintained to ensure recovery from natural and man-made disasters?
",,,
,BCR-09.2,,,"Is the disaster response plan updated at least annually, and when significant changes occur?
",,,
,BCR-10.1,Response Plan Exercise,,"Is the disaster response plan exercised annually or when significant changes occur?
",,,
,BCR-10.2,,,"Are local emergency authorities included, if possible, in the exercise?
",,,
,BCR-11.1,Equipment Redundancy,,"Is business-critical equipment supplemented with redundant equipment independently located at a reasonable minimum distance in accordance with applicable industry standards?
",,,
,CCC-01.1,Change Management Policy and Procedures,,"Are risk management policies and procedures associated with changing organizational assets including applications, systems, infrastructure, configuration, etc., established, documented, approved, communicated, applied, evaluated and maintained (regardless of whether asset management is internal or external)?
",,,
,CCC-01.2,,,"Are the policies and procedures reviewed and updated at least annually?
",,,
,CCC-02.1,Quality Testing,,"Is a defined quality change control, approval and testing process (with established baselines, testing, and release standards) followed?
",,,
,CCC-03.1,Change Management Technology,,"Are risks associated with changing organizational assets (including applications, systems, infrastructure, configuration, etc.) managed, regardless of whether asset management occurs internally or externally (i.e., outsourced)?
",,,
,CCC-04.1,Unauthorized Change Protection,,"Is the unauthorized addition, removal, update, and management of organization assets restricted?
",,,
,CCC-05.1,Change Agreements,,"Are provisions to limit changes that directly impact CSC-owned environments and require tenants to authorize requests explicitly included within the service level agreements (SLAs) between CSPs and CSCs?
",,,
,CCC-06.1,Change Management Baseline,,"Are change management baselines established for all relevant authorized changes on organizational assets?
",,,
,CCC-07.1,Detection of Baseline Deviation,,"Are detection measures implemented with proactive notification if changes deviate from established baselines?
",,,
,CCC-08.1,Exception Management,,"Is a procedure implemented to manage exceptions, including emergencies, in the change and configuration process?
",,,
,CCC-08.2,,,"Is the procedure aligned with the requirements of the GRC-04: Policy Exception Process?'
",,,
,CCC-09.1,Change Restoration,,"Is a process to proactively roll back changes to a previously known ""good state"" defined and implemented in case of errors or security concerns?
",,,
,CEK-01.1,Encryption and Key Management Policy and Procedures,y,"Are cryptography, encryption, and key management policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained?
",,,
,CEK-01.2,,y,"Are cryptography, encryption, and key management policies and procedures reviewed and updated at least annually?
",,,
,CEK-02.1,CEK Roles and Responsibilities,y,"Are cryptography, encryption, and key management roles and responsibilities defined and implemented?
",,,
,CEK-03.1,Data Encryption,y,"Are data at-rest and in-transit cryptographically protected using cryptographic libraries certified to approved standards?
",,,
,CEK-04.1,Encryption Algorithm,y,"Are appropriate data protection encryption algorithms used that consider data classification, associated risks, and encryption technology usability?
",,,
,CEK-05.1,Encryption Change Management,y,"Are standard change management procedures established to review, approve, implement and communicate cryptography, encryption, and key management technology changes that accommodate internal and external sources?
",,,
,CEK-06.1,Encryption Change Cost Benefit Analysis,y,"Are changes to cryptography-, encryption- and key management-related systems, policies, and procedures, managed and adopted in a manner that fully accounts for downstream effects of proposed changes, including residual risk, cost, and benefits analysis?
",,,
,CEK-07.1,Encryption Risk Management,y,"Is a cryptography, encryption, and key management risk program established and maintained that includes risk assessment, risk treatment, risk context, monitoring, and feedback provisions?
",,,
,CEK-08.1,CSC Key Management Capability,y,"Are CSPs providing CSCs with the capacity to manage their own data encryption keys?
",,,
,CEK-09.1,Encryption and Key Management Audit,y,"Are encryption and key management systems, policies, and processes audited with a frequency proportional to the system's risk exposure, and after any security event?
",,,
,CEK-09.2,,y,"Are encryption and key management systems, policies, and processes audited (preferably continuously but at least annually)?
",,,
,CEK-10.1,Key Generation,y,"Are cryptographic keys generated using industry-accepted and approved cryptographic libraries that specify algorithm strength and random number generator specifications?
",,,
,CEK-11.1,Key Purpose,y,"Are private keys provisioned for a unique purpose managed, and is cryptography secret?
",,,
,CEK-12.1,Key Rotation,y,"Are cryptographic keys rotated based on a cryptoperiod calculated while considering information disclosure risks and legal and regulatory requirements?
",,,
,CEK-13.1,Key Revocation,y,"Are cryptographic keys revoked and removed before the end of the established cryptoperiod (when a key is compromised, or an entity is no longer part of the organization) per defined, implemented, and evaluated processes, procedures, and technical measures to include legal and regulatory requirement provisions?
",,,
,CEK-14.1,Key Destruction,y,"Are processes, procedures and technical measures to destroy unneeded keys defined, implemented and evaluated to address key destruction outside secure environments, revocation of keys stored in hardware security modules (HSMs), and include applicable legal and regulatory requirement provisions?
",,,
,CEK-15.1,Key Activation,y,"Are processes, procedures, and technical measures to create keys in a pre-activated state (i.e., when they have been generated but not authorized for use) being defined, implemented, and evaluated to include legal and regulatory requirement provisions?
",,,
,CEK-16.1,Key Suspension,y,"Are processes, procedures, and technical measures to monitor, review and approve key transitions (e.g., from any state to/from suspension) being defined, implemented, and evaluated to include legal and regulatory requirement provisions?
",,,
,CEK-17.1,Key Deactivation,y,"Are processes, procedures, and technical measures to deactivate keys (at the time of their expiration date) being defined, implemented, and evaluated to include legal and regulatory requirement provisions?
",,,
,CEK-18.1,Key Archival,y,"Are processes, procedures, and technical measures to manage archived keys in a secure repository (requiring least privilege access) being defined, implemented, and evaluated to include legal and regulatory requirement provisions?
",,,
,CEK-19.1,Key Compromise,y,"Are processes, procedures, and technical measures to encrypt information in specific scenarios (e.g., only in controlled circumstances and thereafter only for data decryption and never for encryption) being defined, implemented, and evaluated to include legal and regulatory requirement provisions?
",,,
,CEK-20.1,Key Recovery,y,"Are processes, procedures, and technical measures to assess operational continuity risks (versus the risk of losing control of keying material and exposing protected data) being defined, implemented, and evaluated to include legal and regulatory requirement provisions?
",,,
,CEK-21.1,Key Inventory Management,y,"Are key management system processes, procedures, and technical measures being defined, implemented, and evaluated to track and report all cryptographic materials and status changes that include legal and regulatory requirements provisions?
",,,
,DCS-01.1,Off-Site Equipment Disposal Policy and Procedures,,"Are policies and procedures for the secure disposal of equipment used outside the organization's premises established, documented, approved, communicated, enforced, and maintained?
",,,
,DCS-01.2,,,"Is a data destruction procedure applied that renders information recovery information impossible if equipment is not physically destroyed?
",,,
,DCS-01.3,,,"Are policies and procedures for the secure disposal of equipment used outside the organization's premises reviewed and updated at least annually?
",,,
,DCS-02.1,Off-Site Transfer Authorization Policy and Procedures,,"Are policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location established, documented, approved, communicated, implemented, enforced, maintained?
",,,
,DCS-02.2,,,"Does a relocation or transfer request require written or cryptographically verifiable authorization?
",,,
,DCS-02.3,,,"Are policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location reviewed and updated at least annually?
",,,
,DCS-03.1,Secure Area Policy and Procedures,,"Are policies and procedures for maintaining a safe and secure working environment (in offices, rooms, and facilities) established, documented, approved, communicated, enforced, and maintained?
",,,
,DCS-03.2,,,"Are policies and procedures for maintaining safe, secure working environments (e.g., offices, rooms) reviewed and updated at least annually?
",,,
,DCS-04.1,Secure Media Transportation Policy and Procedures,,"Are policies and procedures for the secure transportation of physical media established, documented, approved, communicated, enforced, evaluated, and maintained?
",,,
,DCS-04.2,,,"Are policies and procedures for the secure transportation of physical media reviewed and updated at least annually?
",,,
,DCS-05.1,Assets Classification,,"Is the classification and documentation of physical and logical assets based on the organizational business risk?
",,,
,DCS-06.1,Assets Cataloguing and Tracking,,"Are all relevant physical and logical assets at all CSP sites cataloged and tracked within a secured system?
",,,
,DCS-07.1,Controlled Access Points,,"Are physical security perimeters implemented to safeguard personnel, data, and information systems?
",,,
,DCS-07.2,,,"Are physical security perimeters established between administrative and business areas, data storage, and processing facilities?
",,,
,DCS-08.1,Equipment Identification,,"Is equipment identification used as a method for connection authentication?
",,,
,DCS-09.1,Secure Area Authorization,,"Are solely authorized personnel able to access secure areas, with all ingress and egress areas restricted, documented, and monitored by physical access control mechanisms?
",,,
,DCS-09.2,,,"Are access control records retained periodically, as deemed appropriate by the organization?
",,,
,DCS-10.1,Surveillance System,,"Are external perimeter datacenter surveillance systems and surveillance systems at all ingress and egress points implemented, maintained, and operated?
",,,
,DCS-11.1,Unauthorized Access Response Training,,"Are datacenter personnel trained to respond to unauthorized access or egress attempts?
",,,
,DCS-12.1,Cabling Security,,"Are processes, procedures, and technical measures defined, implemented, and evaluated to ensure risk-based protection of power and telecommunication cables from interception, interference, or damage threats at all facilities, offices, and rooms?
",,,
,DCS-13.1,Environmental Systems,,"Are data center environmental control systems designed to monitor, maintain, and test that on-site temperature and humidity conditions fall within accepted industry standards effectively implemented and maintained?
",,,
,DCS-14.1,Secure Utilities,,"Are utility services secured, monitored, maintained, and tested at planned intervals for continual effectiveness?
",,,
,DCS-15.1,Equipment Location,,"Is business-critical equipment segregated from locations subject to a high probability of environmental risk events?
",,,
,DSP-01.1,Security and Privacy Policy and Procedures,,"Are policies and procedures established, documented, approved, communicated, enforced, evaluated, and maintained for the classification, protection, and handling of data throughout its lifecycle according to all applicable laws and regulations, standards, and risk level?
",,,
,DSP-01.2,,,"Are data security and privacy policies and procedures reviewed and updated at least annually?
",,,
,DSP-02.1,Secure Disposal,,"Are industry-accepted methods applied for secure data disposal from storage media so information is not recoverable by any forensic means?
",,,
,DSP-03.1,Data Inventory,,"Is a data inventory created and maintained for sensitive and personal information (at a minimum)?
",,,
,DSP-04.1,Data Classification,,"Is data classified according to type and sensitivity levels?
",,,
,DSP-05.1,Data Flow Documentation,,"Is data flow documentation created to identify what data is processed and where it is stored and transmitted?
",,,
,DSP-05.2,,,"Is data flow documentation reviewed at defined intervals, at least annually, and after any change?
",,,
,DSP-06.1,Data Ownership and Stewardship,,"Is the ownership and stewardship of all relevant personal and sensitive data documented?
",,,
,DSP-06.2,,,"Is data ownership and stewardship documentation reviewed at least annually?
",,,
,DSP-07.1,Data Protection by Design and Default,,"Are systems, products, and business practices based on security principles by design and per industry best practices?
",,,
,DSP-08.1,Data Privacy by Design and Default,,"Are systems, products, and business practices based on privacy principles by design and according to industry best practices?
",,,
,DSP-08.2,,,"Are systems' privacy settings configured by default and according to all applicable laws and regulations?
",,,
,DSP-09.1,Data Protection Impact Assessment,,"Is a data protection impact assessment (DPIA) conducted when processing personal data and evaluating the origin, nature, particularity, and severity of risks according to any applicable laws, regulations and industry best practices?
",,,
,DSP-10.1,Sensitive Data Transfer,,"Are processes, procedures, and technical measures defined, implemented, and evaluated to ensure any transfer of personal or sensitive data is protected from unauthorized access and only processed within scope (as permitted by respective laws and regulations)?
",,,
,DSP-11.1,"Personal Data Access, Reversal, Rectification and Deletion",,"Are processes, procedures, and technical measures defined, implemented, and evaluated to enable data subjects to request access to, modify, or delete personal data (per applicable laws and regulations)?
",,,
,DSP-12.1,Limitation of Purpose in Personal Data Processing,,"Are processes, procedures, and technical measures defined, implemented, and evaluated to ensure personal data is processed (per applicable laws and regulations and for the purposes declared to the data subject)?
",,,
,DSP-13.1,Personal Data Sub-processing,,"Are processes, procedures, and technical measures defined, implemented, and evaluated for the transfer and sub-processing of personal data within the service supply chain (according to any applicable laws and regulations)?
",,,
,DSP-14.1,Disclosure of Data Sub-processors,,"Are processes, procedures, and technical measures defined, implemented, and evaluated to disclose details to the data owner of any personal or sensitive data access by sub-processors before processing initiation?
",,,
,DSP-15.1,Limitation of Production Data Use,,"Is authorization from data owners obtained, and the associated risk managed, before replicating or using production data in non-production environments?
",,,
,DSP-16.1,Data Retention and Deletion,,"Do data retention, archiving, and deletion practices follow business requirements, applicable laws, and regulations?
",,,
,DSP-17.1,Sensitive Data Protection,,"Are processes, procedures, and technical measures defined and implemented to protect sensitive data throughout its lifecycle?
",,,
,DSP-18.1,Disclosure Notification,,"Does the CSP have in place, and describe to CSCs, the procedure to manage and respond to requests for disclosure of Personal Data by Law Enforcement Authorities according to applicable laws and regulations?
",,,
,DSP-18.2,,,"Does the CSP give special attention to the notification procedure to interested CSCs, unless otherwise prohibited, such as a prohibition under criminal law to preserve confidentiality of a law enforcement investigation?
",,,
,DSP-19.1,Data Location,,"Are processes, procedures, and technical measures defined and implemented to specify and document physical data locations, including locales where data is processed or backed up?
",,,
,GRC-01.1,Governance Program Policy and Procedures,,"Are information governance program policies and procedures sponsored by organizational leadership established, documented, approved, communicated, applied, evaluated, and maintained?
",,,
,GRC-01.2,,,"Are the policies and procedures reviewed and updated at least annually?
",,,
,GRC-02.1,Risk Management Program,,"Is there an established formal, documented, and leadership-sponsored enterprise risk management (ERM) program that includes policies and procedures for identification, evaluation, ownership, treatment, and acceptance of cloud security and privacy risks?
",,,
,GRC-03.1,Organizational Policy Reviews,,"Are all relevant organizational policies and associated procedures reviewed at least annually, or when a substantial organizational change occurs?
",,Review of GRC policies and procedures for ___ is in the team's calendar.,
,GRC-04.1,Policy Exception Process,,"Is an approved exception process mandated by the governance program established and followed whenever a deviation from an established policy occurs?
",,,
,GRC-05.1,Information Security Program,,"Has an information security program (including programs of all relevant CCM domains) been developed and implemented?
",,,
,GRC-06.1,Governance Responsibility Model,,"Are roles and responsibilities for planning, implementing, operating, assessing, and improving governance programs defined and documented?
",,,
,GRC-07.1,Information System Regulatory Mapping,,"Are all relevant standards, regulations, legal/contractual, and statutory requirements applicable to your organization identified and documented?
",,,
,GRC-08.1,Special Interest Groups,,"Is contact established and maintained with cloud-related special interest groups and other relevant entities?
",,,
,HRS-01.1,Background Screening Policy and Procedures,,"Are background verification policies and procedures of all new employees (including but not limited to remote employees, contractors, and third parties) established, documented, approved, communicated, applied, evaluated, and maintained?
",,,
